name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
SK하이닉스,174500,179500,173900,177000,300,+0.17%,4244333,24.11.25
SK하이닉스,171700,178200,171200,176700,7900,+4.68%,3784330,24.11.22
SK하이닉스,168200,173000,168200,168800,-1800,-1.06%,3777645,24.11.21
SK하이닉스,175000,175100,170200,170600,-0,0.00%,3614419,24.11.20
SK하이닉스,170400,172900,168100,170600,-1100,-0.64%,3978759,24.11.19
SK하이닉스,173800,177800,170300,171700,-6500,-3.65%,3841802,24.11.18
SK하이닉스,174000,179000,173600,178200,5200,+3.01%,4172563,24.11.15
SK하이닉스,182900,184900,171700,173000,-9900,-5.41%,6271156,24.11.14
SK하이닉스,185700,189500,182600,182900,-2900,-1.56%,3080015,24.11.13
SK하이닉스,192500,192500,184900,185800,-6800,-3.53%,3753902,24.11.12
SK하이닉스,199300,199300,192400,192600,-7900,-3.94%,2597023,24.11.11
SK하이닉스,200500,203000,198800,200500,3100,+1.57%,2980271,24.11.08
SK하이닉스,197400,198300,193100,197400,1600,+0.82%,2932226,24.11.07
SK하이닉스,197700,199200,192700,195800,2600,+1.35%,3390028,24.11.06
SK하이닉스,193600,198800,192100,193200,-800,-0.41%,3532753,24.11.05
SK하이닉스,185200,194000,183700,194000,11800,+6.48%,3521340,24.11.04
SK하이닉스,182500,184900,180500,182200,-4100,-2.20%,3424088,24.11.01
SK하이닉스,189900,192900,186100,186300,-8700,-4.46%,4476842,24.10.31
SK하이닉스,190200,195400,189400,195000,4700,+2.47%,3423712,24.10.30
SK하이닉스,196000,197000,189100,190300,-5700,-2.91%,3915481,24.10.29
SK하이닉스,203500,205000,194200,196000,-5000,-2.49%,4047062,24.10.28
SK하이닉스,203000,206000,199400,201000,2800,+1.41%,5440890,24.10.25
SK하이닉스,193500,202000,190000,198200,2200,+1.12%,6100264,24.10.24
SK하이닉스,188500,196700,188000,196000,8200,+4.37%,4305296,24.10.23
SK하이닉스,195300,195300,187500,187800,-3100,-1.62%,3426481,24.10.22
SK하이닉스,189400,192300,188000,190900,3600,+1.92%,2400124,24.10.21
SK하이닉스,198200,198200,186200,187300,-8700,-4.44%,5372494,24.10.18
SK하이닉스,191200,196000,188700,196000,7300,+3.87%,3865460,24.10.17
SK하이닉스,184700,192500,183600,188700,-4200,-2.18%,4750148,24.10.16
SK하이닉스,191900,193200,189700,192900,5400,+2.88%,3918600,24.10.15
SK하이닉스,186900,192300,186900,187500,1500,+0.81%,3183920,24.10.14
SK하이닉스,190000,191200,185100,186000,-700,-0.37%,3221962,24.10.11
SK하이닉스,184500,188100,183400,186700,8700,+4.89%,5656322,24.10.10
SK하이닉스,182200,185000,178000,178000,-6900,-3.73%,3752045,24.10.08
SK하이닉스,178400,184900,176000,184900,10800,+6.20%,3870760,24.10.07
SK하이닉스,171700,175600,170700,174100,5000,+2.96%,3598030,24.10.04
SK하이닉스,172700,175500,169100,169100,-5500,-3.15%,4658321,24.10.02
SK하이닉스,183700,183800,174600,174600,-9200,-5.01%,4491526,24.09.30
SK하이닉스,187500,189300,183800,183800,2900,+1.60%,6711626,24.09.27
SK하이닉스,178400,180900,176200,180900,15600,+9.44%,9427505,24.09.26
SK하이닉스,166700,169300,165000,165300,1800,+1.10%,4582656,24.09.25
SK하이닉스,163700,163700,159200,163500,1500,+0.93%,3360969,24.09.24
SK하이닉스,155800,162900,155700,162000,4900,+3.12%,4440812,24.09.23
SK하이닉스,160500,160800,155900,157100,4300,+2.81%,6917314,24.09.20
SK하이닉스,154700,155700,144700,152800,-10000,-6.14%,14745694,24.09.19
SK하이닉스,166500,166700,161100,162800,-6000,-3.55%,5168853,24.09.13
SK하이닉스,165200,171300,163800,168800,11600,+7.38%,8577282,24.09.12
SK하이닉스,156800,158700,154300,157200,1700,+1.09%,3167949,24.09.11
SK하이닉스,157400,161700,154300,155500,-1500,-0.96%,4677531,24.09.10
SK하이닉스,151800,157700,150500,157000,600,+0.38%,4432606,24.09.09
SK하이닉스,157100,158200,154900,156400,-3000,-1.88%,3367065,24.09.06
SK하이닉스,157000,163000,156600,159400,4600,+2.97%,5287816,24.09.05
SK하이닉스,152900,159000,152900,154800,-13500,-8.02%,9783125,24.09.04
SK하이닉스,172900,173800,168300,168300,-5700,-3.28%,3231806,24.09.03
SK하이닉스,173600,174900,168400,174000,300,+0.17%,3480969,24.09.02
SK하이닉스,171000,175500,169400,173700,4000,+2.36%,4172055,24.08.30
SK하이닉스,167600,171700,167200,169700,-9600,-5.35%,8150374,24.08.29
SK하이닉스,175000,180800,174000,179300,4300,+2.46%,5499148,24.08.28
SK하이닉스,176800,180200,173400,175000,-4600,-2.56%,5740239,24.08.27
SK하이닉스,187800,188500,179600,179600,-5900,-3.18%,4851809,24.08.26
SK하이닉스,186000,189300,185400,185500,-5600,-2.93%,4265249,24.08.23
SK하이닉스,192000,194400,189000,191100,-1500,-0.78%,3149013,24.08.22
SK하이닉스,193000,195400,191100,192600,-7100,-3.56%,4345311,24.08.21
SK하이닉스,198700,202500,198100,199700,5800,+2.99%,4195705,24.08.20
SK하이닉스,199900,199900,192400,193900,-5800,-2.90%,3925283,24.08.19
SK하이닉스,196000,200000,194700,199700,13000,+6.96%,6643573,24.08.16
SK하이닉스,188000,188100,184700,186700,4800,+2.64%,4317229,24.08.14
SK하이닉스,179900,182400,178800,181900,4900,+2.77%,4196798,24.08.13
SK하이닉스,174500,179800,172600,177000,5500,+3.21%,4382528,24.08.12
SK하이닉스,172800,172800,168800,171500,8100,+4.96%,5034650,24.08.09
SK하이닉스,162600,168200,161200,163400,-5900,-3.48%,5248879,24.08.08
SK하이닉스,160900,171000,157400,169300,5600,+3.42%,9580804,24.08.07
SK하이닉스,165100,166400,161500,163700,7600,+4.87%,10406705,24.08.06
SK하이닉스,168000,171200,151600,156100,-17100,-9.87%,11675731,24.08.05
SK하이닉스,183600,184000,172400,173200,-20100,-10.40%,12608499,24.08.02
SK하이닉스,201500,201500,193300,193300,-1300,-0.67%,6226118,24.08.01
SK하이닉스,188000,195000,185200,194600,5700,+3.02%,6184266,24.07.31
SK하이닉스,191300,192200,186500,188900,-6700,-3.43%,5117878,24.07.30
SK하이닉스,195000,195700,192200,195600,3800,+1.98%,3850938,24.07.29
SK하이닉스,190800,194500,186100,191800,1800,+0.95%,8634958,24.07.26
SK하이닉스,196200,198800,189000,190000,-18500,-8.87%,12363524,24.07.25
SK하이닉스,202000,212500,200000,208500,3500,+1.71%,4790954,24.07.24
SK하이닉스,208500,209500,200500,205000,-0,0.00%,5867903,24.07.23
SK하이닉스,209000,209500,200500,205000,-4500,-2.15%,6367558,24.07.22
SK하이닉스,208500,214000,207000,209500,-3000,-1.41%,4343988,24.07.19
SK하이닉스,212500,215000,209000,212500,-8000,-3.63%,8731430,24.07.18
SK하이닉스,229500,230000,220500,220500,-12500,-5.36%,5981224,24.07.17
SK하이닉스,226500,235000,224000,233000,3000,+1.30%,3910268,24.07.16
SK하이닉스,235000,235500,226500,230000,-3000,-1.29%,3274115,24.07.15
SK하이닉스,232000,236000,230000,233000,-8000,-3.32%,4810255,24.07.12
SK하이닉스,242500,248500,241000,241000,2000,+0.84%,5310787,24.07.11
SK하이닉스,237500,239000,234000,239000,500,+0.21%,2518420,24.07.10
SK하이닉스,235500,241000,233000,238500,5000,+2.14%,4562714,24.07.09
SK하이닉스,234000,237000,232500,233500,-2500,-1.06%,2017931,24.07.08
SK하이닉스,228500,237500,227500,236000,6000,+2.61%,3980047,24.07.05
SK하이닉스,240500,240500,225000,230000,-6000,-2.54%,7280724,24.07.04
SK하이닉스,231000,236000,225000,236000,4000,+1.72%,3257907,24.07.03
SK하이닉스,235500,237000,230500,232000,-3500,-1.49%,2293148,24.07.02
SK하이닉스,233500,236500,232000,235500,-1000,-0.42%,1687364,24.07.01
SK하이닉스,235500,237500,232500,236500,-0,0.00%,2320581,24.06.28
SK하이닉스,229500,239000,227500,236500,-500,-0.21%,3676238,24.06.27
SK하이닉스,228000,238500,227500,237000,12000,+5.33%,5106442,24.06.26
SK하이닉스,215500,225000,215000,225000,2000,+0.90%,5624880,24.06.25
SK하이닉스,228000,230000,220000,223000,-11000,-4.70%,5080726,24.06.24
SK하이닉스,230500,234500,230000,234000,-3500,-1.47%,3848394,24.06.21
SK하이닉스,233500,238500,231000,237500,4000,+1.71%,2927358,24.06.20
SK하이닉스,235000,243000,231500,233500,-1000,-0.43%,3758652,24.06.19
SK하이닉스,227000,234500,227000,234500,11500,+5.16%,3136231,24.06.18
SK하이닉스,219000,229500,219000,223000,2000,+0.90%,2198340,24.06.17
SK하이닉스,225000,225000,216000,221000,-1000,-0.45%,3311223,24.06.14
SK하이닉스,226000,226500,219000,222000,7000,+3.26%,5777279,24.06.13
SK하이닉스,212000,216000,211000,215000,2500,+1.18%,2151331,24.06.12
SK하이닉스,210000,215000,206000,212500,4500,+2.16%,3070163,24.06.11
SK하이닉스,206000,209500,205000,208000,500,+0.24%,2448961,24.06.10
SK하이닉스,199500,207500,197300,207500,13800,+7.12%,4805326,24.06.07
SK하이닉스,189400,195200,188800,193700,400,+0.21%,2709631,24.06.05
SK하이닉스,196400,196500,192900,193300,-900,-0.46%,1996780,24.06.04
SK하이닉스,189500,194600,188200,194200,5000,+2.64%,2982443,24.06.03
SK하이닉스,194400,195200,188200,189200,-6500,-3.32%,5958829,24.05.31
SK하이닉스,202500,202500,195700,195700,-6800,-3.36%,2402236,24.05.30
SK하이닉스,210000,210000,200500,202500,-0,0.00%,3073139,24.05.29
SK하이닉스,202500,205500,200500,202500,1000,+0.50%,2084945,24.05.28
SK하이닉스,203500,209000,199100,201500,2900,+1.46%,4774882,24.05.27
SK하이닉스,199800,202500,197500,198600,-1400,-0.70%,3793872,24.05.24
SK하이닉스,203500,204000,198200,200000,2300,+1.16%,4681849,24.05.23
SK하이닉스,191900,197700,190900,197700,5700,+2.97%,3949439,24.05.22
SK하이닉스,193400,193500,191200,192000,1900,+1.00%,2468109,24.05.21
SK하이닉스,192300,193200,188600,190100,200,+0.11%,3592128,24.05.20
SK하이닉스,192000,193500,189900,189900,-3100,-1.61%,2841394,24.05.17
SK하이닉스,191100,194000,191100,193000,7700,+4.16%,5083178,24.05.16
SK하이닉스,184200,185800,181800,185300,1500,+0.82%,2763069,24.05.14
SK하이닉스,180000,184000,179000,183800,3900,+2.17%,3230023,24.05.13
SK하이닉스,176500,180100,176400,179900,4500,+2.57%,2813668,24.05.10
SK하이닉스,179000,179400,175400,175400,-2600,-1.46%,2861600,24.05.09
SK하이닉스,177600,179400,176000,178000,-1600,-0.89%,2304744,24.05.08
SK하이닉스,179400,180900,179300,179600,6400,+3.70%,4349589,24.05.07
SK하이닉스,177000,177500,173200,173200,-400,-0.23%,2336256,24.05.03
SK하이닉스,169000,174700,169000,173600,-600,-0.34%,3168250,24.05.02
SK하이닉스,175900,179000,173800,174200,-1700,-0.97%,3655060,24.04.30
SK하이닉스,179100,180400,175600,175900,-1900,-1.07%,2892809,24.04.29
SK하이닉스,176200,178300,174900,177800,7200,+4.22%,5471765,24.04.26
SK하이닉스,173800,176700,170600,170600,-9200,-5.12%,5332149,24.04.25
SK하이닉스,178900,180200,176300,179800,8800,+5.15%,4254632,24.04.24
SK하이닉스,172600,173700,169700,171000,-600,-0.35%,3975371,24.04.23
SK하이닉스,170700,172400,167000,171600,-1700,-0.98%,5882906,24.04.22
SK하이닉스,177200,178500,169500,173300,-9000,-4.94%,7545976,24.04.19
SK하이닉스,176000,183300,175400,182300,3600,+2.01%,4170243,24.04.18
SK하이닉스,179600,182500,177700,178700,-400,-0.22%,4340591,24.04.17
SK하이닉스,184400,185500,178300,179100,-9100,-4.84%,4956035,24.04.16
SK하이닉스,185400,188400,183000,188200,800,+0.43%,2672047,24.04.15
SK하이닉스,188700,191400,187000,187400,-1000,-0.53%,3097301,24.04.12
SK하이닉스,182900,188400,182400,188400,5500,+3.01%,4098231,24.04.11
SK하이닉스,182300,185300,181700,182900,1700,+0.94%,2302751,24.04.09
SK하이닉스,183900,183900,180000,181200,-1600,-0.88%,3278855,24.04.08
SK하이닉스,184800,187600,181800,182800,-5200,-2.77%,4043133,24.04.05
SK하이닉스,184400,188500,184000,188000,8800,+4.91%,5344102,24.04.04
SK하이닉스,182000,183700,178200,179200,-7100,-3.81%,5416518,24.04.03
SK하이닉스,188000,190000,184400,186300,800,+0.43%,4207759,24.04.02
SK하이닉스,186400,190500,185000,185500,2500,+1.37%,2723474,24.04.01
SK하이닉스,179200,183900,177600,183000,4800,+2.69%,3035080,24.03.29
SK하이닉스,178000,182100,178000,178200,-3000,-1.66%,3424716,24.03.28
SK하이닉스,176700,183000,175600,181200,4600,+2.60%,5774536,24.03.27
SK하이닉스,172000,179500,171900,176600,7200,+4.25%,6549669,24.03.26
SK하이닉스,170500,174800,168500,169400,-400,-0.24%,3434516,24.03.25
SK하이닉스,169000,173900,167400,169800,-200,-0.12%,5400916,24.03.22
SK하이닉스,165200,171400,162600,170000,13500,+8.63%,9205769,24.03.21
SK하이닉스,160200,161400,154100,156500,-3700,-2.31%,5692523,24.03.20
SK하이닉스,161700,161800,157600,160200,-4100,-2.50%,4159293,24.03.19
SK하이닉스,161200,164500,161000,164300,3100,+1.92%,2696598,24.03.18
SK하이닉스,159600,162900,158600,161200,-700,-0.43%,4099531,24.03.15
SK하이닉스,163600,164200,161100,161900,-1700,-1.04%,3655060,24.03.14
SK하이닉스,168600,169700,162000,163600,-2100,-1.27%,5072935,24.03.13
SK하이닉스,166100,167200,164000,165700,-900,-0.54%,3102706,24.03.12
SK하이닉스,165000,168900,164700,166600,-5300,-3.08%,3450905,24.03.11
SK하이닉스,169800,174900,169300,171900,7000,+4.24%,5089650,24.03.08
SK하이닉스,164500,165900,161000,164900,2000,+1.23%,3052700,24.03.07
SK하이닉스,164100,165500,162700,162900,-2900,-1.75%,2672526,24.03.06
SK하이닉스,165100,169000,164100,165800,-700,-0.42%,3612530,24.03.05
SK하이닉스,161000,168100,160700,166500,10300,+6.59%,5230909,24.03.04
SK하이닉스,154900,158400,154500,156200,-1800,-1.14%,3386307,24.02.29
SK하이닉스,154500,159200,153800,158000,4200,+2.73%,3666960,24.02.28
SK하이닉스,159000,160000,153300,153800,-8000,-4.94%,6107954,24.02.27
SK하이닉스,158400,164800,158400,161800,400,+0.25%,4329477,24.02.26
SK하이닉스,166900,166900,159800,161400,4900,+3.13%,7012032,24.02.23
SK하이닉스,154500,156500,152600,156500,7500,+5.03%,5966352,24.02.22
SK하이닉스,147100,152200,147100,149000,-600,-0.40%,4278500,24.02.21
SK하이닉스,150300,151100,147500,149600,-1700,-1.12%,3507601,24.02.20
SK하이닉스,146200,153200,146000,151300,4500,+3.07%,3997323,24.02.19
SK하이닉스,150600,150600,145700,146800,-1900,-1.28%,3265836,24.02.16
SK하이닉스,151300,152700,148000,148700,-0,0.00%,3560211,24.02.15
SK하이닉스,146300,149200,144900,148700,-1300,-0.87%,4396924,24.02.14
SK하이닉스,146800,150000,145000,150000,7200,+5.04%,6902585,24.02.13
SK하이닉스,139000,143000,137900,142800,4800,+3.48%,5780714,24.02.08
SK하이닉스,136600,138500,135500,138000,-0,0.00%,3348045,24.02.07
SK하이닉스,133700,138400,132000,138000,5700,+4.31%,4672324,24.02.06
SK하이닉스,134900,135800,131700,132300,-2600,-1.93%,3300954,24.02.05
SK하이닉스,132300,135300,132200,134900,2200,+1.66%,3708253,24.02.02
SK하이닉스,133100,135600,131700,132700,-2000,-1.48%,3778274,24.02.01
SK하이닉스,134800,136600,133600,134700,-2200,-1.61%,2815362,24.01.31
SK하이닉스,135300,137800,134400,136900,1900,+1.41%,2297631,24.01.30
SK하이닉스,135500,137000,135000,135000,-1000,-0.74%,2311854,24.01.29
SK하이닉스,136200,138600,136000,136000,-1400,-1.02%,3247410,24.01.26
SK하이닉스,142700,143700,136900,137400,-4100,-2.90%,4708651,24.01.25
SK하이닉스,140000,141700,137600,141500,700,+0.50%,2580665,24.01.24
SK하이닉스,142300,142800,138300,140800,-1800,-1.26%,2912611,24.01.23
SK하이닉스,145200,145400,142300,142600,1300,+0.92%,3784276,24.01.22
SK하이닉스,138700,141300,137400,141300,5100,+3.74%,4946040,24.01.19
SK하이닉스,131500,136800,130600,136200,5200,+3.97%,3050556,24.01.18
SK하이닉스,133800,134500,129000,131000,-1100,-0.83%,3822702,24.01.17
SK하이닉스,132600,133700,131100,132100,-2000,-1.49%,3670169,24.01.16
SK하이닉스,134800,135100,133300,134100,-0,0.00%,1858867,24.01.15
SK하이닉스,136400,137300,133400,134100,-1900,-1.40%,1878915,24.01.12
SK하이닉스,132400,137100,132400,136000,2500,+1.87%,3594909,24.01.11
SK하이닉스,137700,138100,132100,133500,-3900,-2.84%,3769252,24.01.10
SK하이닉스,139000,139500,136600,137400,1400,+1.03%,3473806,24.01.09
SK하이닉스,137500,137900,135400,136000,-1500,-1.09%,2498302,24.01.08
SK하이닉스,135800,137500,135800,137500,1100,+0.81%,1846781,24.01.05
SK하이닉스,136800,138800,135800,136400,-400,-0.29%,2661970,24.01.04
SK하이닉스,140000,140800,136800,136800,-5600,-3.93%,3257820,24.01.03
SK하이닉스,139700,142800,139700,142400,900,+0.64%,2147458,24.01.02
SK하이닉스,140900,141600,139500,141500,1100,+0.78%,2459473,23.12.28
SK하이닉스,140800,141600,139200,140400,-500,-0.35%,2336777,23.12.27
SK하이닉스,142000,142000,139400,140900,300,+0.21%,2239789,23.12.26
SK하이닉스,142700,143700,140600,140600,100,+0.07%,3183709,23.12.22
SK하이닉스,139200,140600,138100,140500,-0,0.00%,2737124,23.12.21
SK하이닉스,139900,140800,139300,140500,2300,+1.66%,3108011,23.12.20
SK하이닉스,140000,140800,138100,138200,-1800,-1.29%,2309721,23.12.19
SK하이닉스,139000,140800,138900,140000,-0,0.00%,2540812,23.12.18
SK하이닉스,137000,140000,137000,140000,3300,+2.41%,5011719,23.12.15
SK하이닉스,133700,138300,133600,136700,5500,+4.19%,8217135,23.12.14
SK하이닉스,130000,132400,130000,131200,200,+0.15%,2852873,23.12.13
SK하이닉스,130600,131900,130500,131000,2100,+1.63%,3126577,23.12.12
SK하이닉스,128700,129100,127300,128900,1400,+1.10%,3696790,23.12.11
SK하이닉스,128100,129100,127500,127500,1900,+1.51%,2762531,23.12.08
