name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
현대오토에버,148300,157000,148300,155600,4600,+3.05%,67292,24.08.07
현대오토에버,146200,153200,146100,151000,6500,+4.50%,94697,24.08.06
현대오토에버,151100,154000,139700,144500,-13300,-8.43%,175433,24.08.05
현대오토에버,162000,162400,157700,157800,-9000,-5.40%,105221,24.08.02
현대오토에버,165000,169900,165000,166800,2500,+1.52%,58477,24.08.01
현대오토에버,166000,166500,160200,164300,-1500,-0.90%,59799,24.07.31
현대오토에버,169000,172400,165500,165800,-4400,-2.59%,85777,24.07.30
현대오토에버,166700,172000,164000,170200,3700,+2.22%,177537,24.07.29
현대오토에버,154000,167300,148000,166500,12200,+7.91%,303308,24.07.26
현대오토에버,156000,156700,153900,154300,-4600,-2.89%,82007,24.07.25
현대오토에버,158500,159400,155200,158900,500,+0.32%,69791,24.07.24
현대오토에버,160600,162600,158400,158400,-1100,-0.69%,85139,24.07.23
현대오토에버,161600,163000,157400,159500,-3500,-2.15%,110435,24.07.22
현대오토에버,165900,166000,161000,163000,-3000,-1.81%,90435,24.07.19
현대오토에버,165500,169100,165500,166000,-3300,-1.95%,84428,24.07.18
현대오토에버,176500,176500,169200,169300,-6100,-3.48%,118126,24.07.17
현대오토에버,170100,175800,169500,175400,6400,+3.79%,194779,24.07.16
현대오토에버,167500,169200,164900,169000,2500,+1.50%,87656,24.07.15
현대오토에버,168600,172000,165900,166500,-8500,-4.86%,249673,24.07.12
현대오토에버,177600,181900,175000,175000,-2300,-1.30%,166877,24.07.11
현대오토에버,176600,179000,170700,177300,700,+0.40%,173192,24.07.10
현대오토에버,177300,181000,174400,176600,-400,-0.23%,178806,24.07.09
현대오토에버,171500,178500,171100,177000,6500,+3.81%,232460,24.07.08
현대오토에버,172900,174300,168300,170500,-3500,-2.01%,219526,24.07.05
현대오토에버,172600,178000,170500,174000,5700,+3.39%,400811,24.07.04
현대오토에버,161000,172800,160200,168300,10900,+6.93%,565761,24.07.03
현대오토에버,165000,165200,156500,157400,-5200,-3.20%,140978,24.07.02
현대오토에버,166600,168700,162100,162600,-1800,-1.09%,146172,24.07.01
현대오토에버,161000,167300,159500,164400,3700,+2.30%,209884,24.06.28
현대오토에버,159800,161300,158000,160700,1700,+1.07%,76310,24.06.27
현대오토에버,162000,162000,157500,159000,-1600,-1.00%,113464,24.06.26
현대오토에버,156400,162300,156400,160600,3800,+2.42%,159880,24.06.25
현대오토에버,156200,158600,155500,156800,100,+0.06%,57306,24.06.24
현대오토에버,156000,157400,153500,156700,1300,+0.84%,78024,24.06.21
현대오토에버,156600,159300,154000,155400,-600,-0.38%,108000,24.06.20
현대오토에버,163400,163500,155200,156000,-5700,-3.53%,280739,24.06.19
현대오토에버,157500,163000,156600,161700,8200,+5.34%,388097,24.06.18
현대오토에버,155300,159100,151300,153500,-1700,-1.10%,152029,24.06.17
현대오토에버,153900,159700,151200,155200,2500,+1.64%,394309,24.06.14
현대오토에버,148500,153700,148000,152700,5400,+3.67%,189125,24.06.13
현대오토에버,147000,147500,146400,147300,300,+0.20%,36625,24.06.12
현대오토에버,148000,148500,146400,147000,-1100,-0.74%,41452,24.06.11
현대오토에버,145900,148700,145500,148100,1300,+0.89%,48816,24.06.10
